episode,steps
0,13476.4
1,9874.5
2,11850.0
3,33196.4
4,22969.8
5,28178.9
6,20871.6
7,14284.0
8,10840.7
9,6580.1
10,11533.8
11,12768.4
12,8011.1
13,7447.5
14,7082.6
15,8555.8
16,8153.8
17,15222.9
18,11167.6
19,12895.1
20,9190.8
21,9436.6
22,5400.0
23,10325.3
24,15393.2
25,5521.2
26,12727.8
27,6720.2
28,8296.6
29,6437.0
30,12182.7
31,7464.0
32,5136.1
33,6604.8
34,6170.6
35,8137.0
36,9958.0
37,8950.6
38,4541.4
39,6262.5
40,6185.0
41,10120.0
42,2989.0
43,8269.2
44,5619.2
45,4243.0
46,12738.6
47,5332.2
48,11777.0
49,5809.2
50,9024.4
51,5004.1
52,5361.9
53,6546.2
54,7220.1
55,5859.6
56,10243.6
57,7970.5
58,5344.3
59,7647.3
60,5503.9
61,5977.0
62,3672.2
63,2723.0
64,5150.0
65,3553.0
66,5543.1
67,5697.7
68,4859.2
69,3994.5
70,3864.9
71,4520.2
72,4534.7
73,2804.3
74,6536.7
75,9199.4
76,9017.0
77,6362.6
78,4363.4
79,4527.5
80,2327.8
81,7476.6
82,3012.1
83,5877.6
84,8885.0
85,8591.7
86,3373.9
87,3380.1
88,2496.1
89,2107.5
90,1954.3
91,3041.8
92,2992.2
93,3197.6
94,2766.3
95,2731.3
96,4942.4
97,3708.0
98,3415.5
99,2984.1
100,6538.3
101,6425.8
102,4593.2
103,3845.5
104,3669.2
105,3379.3
106,8549.4
107,2520.1
108,1844.5
109,5772.5
110,3795.2
111,2944.2
112,5033.6
113,4448.0
114,2064.2
115,2623.5
116,3732.5
117,3201.3
118,5252.5
119,3131.6
120,2471.7
121,2081.1
122,1537.7
123,3898.4
124,6328.0
125,2822.1
126,3706.0
127,2993.6
128,3723.8
129,4790.9
130,2695.2
131,2841.2
132,4157.9
133,1216.0
134,5539.1
135,1824.5
136,3279.8
137,3291.7
138,2381.8
139,3039.5
140,2486.2
141,6789.3
142,4219.6
143,1947.9
144,2026.4
145,2431.1
146,1989.6
147,4320.4
148,3711.0
149,4143.8
150,3240.9
151,3274.6
152,5141.4
153,4391.0
154,5771.7
155,4016.7
156,2224.7
157,1762.7
158,2892.2
159,3556.3
160,3790.1
161,3827.4
162,2417.1
163,1745.2
164,1841.5
165,1231.7
166,3016.7
167,2057.8
168,1924.2
169,1680.9
170,1777.9
171,1781.8
172,2096.3
173,1515.1
174,648.4
175,2538.4
176,2228.6
177,1747.7
178,1929.3
179,3375.3
180,1182.0
181,2420.0
182,2626.9
183,2637.2
184,1868.0
185,730.4
186,3798.2
187,1386.9
188,2541.5
189,2111.6
190,1047.5
