episode,steps
0,34100
1,46036
2,14991
3,12298
4,2357
5,27778
6,5647
7,6458
8,26775
9,12895
10,4904
11,2972
12,13548
13,891
14,6544
15,8945
16,2296
17,639
18,1799
19,2726
20,6763
21,2423
22,6396
23,17405
24,1246
25,6411
26,8258
27,1003
28,5916
29,9032
30,6328
31,8035
32,677
33,10983
34,1942
35,13763
36,4524
37,7861
38,19135
39,2952
40,2727
41,5823
42,1853
43,2785
44,1486
45,7369
46,11395
47,595
48,457
49,19998
50,11635
51,5450
52,632
53,1508
54,6291
55,915
56,282
57,687
58,9678
59,8346
60,7385
61,501
62,21348
63,595
64,15137
65,22685
66,7708
67,4454
68,1922
69,10760
70,3131
71,3640
72,3128
73,5117
74,870
75,10606
76,4792
77,8229
78,2929
79,2671
80,8816
81,5685
82,1800
83,507
84,1239
85,2786
86,1577
87,33868
88,6460
89,3498
90,356
91,732
92,1447
93,2461
94,241
95,489
96,6786
97,3314
98,1290
99,15212
100,14867
101,542
102,6591
103,2096
104,1386
105,1342
106,6449
107,4747
108,401
109,12368
110,5378
111,2464
112,1786
113,434
114,5632
115,3464
116,3618
117,2162
118,2902
119,2940
120,593
121,2554
122,1826
123,537
124,640
125,2525
126,272
127,441
128,6993
129,2113
130,153
131,2369
132,204
133,680
134,1917
135,798
136,391
137,14931
138,1910
139,1725
140,2071
141,1455
142,13925
143,615
144,412
145,6792
146,244
147,2060
148,1708
149,8129
150,257
151,877
152,2529
153,288
154,2209
155,4215
156,2921
157,228
158,344
159,378
160,131
161,4801
162,830
163,6266
164,493
165,3197
166,3058
167,1493
168,1257
169,152
170,1361
171,5863
172,84
173,1198
174,120
175,669
176,2353
177,23758
178,12457
179,830
180,168
181,2326
182,1574
183,726
184,203
185,229
186,5061
187,337
188,1647
189,2123
190,234
191,6008
192,751
193,713
194,2875
195,188
196,545
197,784
198,6036
199,1918
200,397
201,125
202,10519
203,9182
204,635
205,3755
206,6156
207,434
208,10015
209,125
210,1587
211,629
212,484
213,4698
214,11152
215,6794
216,789
217,505
218,1472
219,11408
220,1019
221,1379
222,819
223,4026
224,198
225,686
226,1086
227,244
228,131
229,5259
230,8852
231,981
232,2448
233,861
234,184
235,428
236,109
237,6154
238,677
239,119
240,10885
241,1148
242,72
243,81
244,565
245,1713
246,2554
247,258
248,66
249,141
250,1053
251,785
252,1494
253,2072
254,9695
255,85
256,194
257,598
258,2055
259,200
