agent,episode,steps
dynaq,0,8278
dynaq+,0,17590
dynaq,1,23659
dynaq+,1,23337
dynaq,2,11634
dynaq+,2,12219
dynaq,3,58379
dynaq+,3,44499
dynaq,4,23648
dynaq+,4,47287
dynaq,5,9525
dynaq+,5,5216
dynaq,6,7167
dynaq+,6,13766
dynaq,7,7484
dynaq+,7,5101
dynaq,8,29863
dynaq+,8,25705
dynaq,9,5757
dynaq+,9,7571
dynaq,10,831
dynaq+,10,15877
dynaq,11,2398
dynaq+,11,646
dynaq,12,18174
dynaq+,12,17074
dynaq,13,859
dynaq+,13,13893
dynaq,14,2138
dynaq+,14,2950
dynaq,15,9040
dynaq+,15,2806
dynaq,16,15607
dynaq+,16,16414
dynaq,17,16372
dynaq+,17,5280
dynaq,18,13277
dynaq+,18,3501
dynaq,19,16316
dynaq+,19,1055
dynaq,20,10763
dynaq+,20,4855
dynaq,21,1859
dynaq+,21,12087
dynaq,22,7874
dynaq+,22,14763
dynaq,23,5175
dynaq+,23,11524
dynaq,24,1246
dynaq+,24,9298
dynaq,25,21333
dynaq+,25,6870
dynaq,26,10427
dynaq+,26,7556
dynaq,27,10533
dynaq+,27,19341
dynaq,28,8192
dynaq+,28,3539
dynaq,29,14307
dynaq+,29,349
dynaq,30,6614
dynaq+,30,2793
dynaq,31,1590
dynaq+,31,15505
dynaq,32,29237
dynaq+,32,5719
dynaq,33,1714
dynaq+,33,1757
dynaq,34,2847
dynaq+,34,1119
dynaq,35,13001
dynaq+,35,13292
dynaq,36,5742
dynaq+,36,14600
dynaq,37,5481
dynaq+,37,3720
dynaq,38,4735
dynaq+,38,7818
dynaq,39,5688
dynaq+,39,9986
dynaq,40,1190
dynaq+,40,720
dynaq,41,14411
dynaq+,41,4960
dynaq,42,2036
dynaq+,42,2581
dynaq,43,2511
dynaq+,43,4084
dynaq,44,822
dynaq+,44,7816
dynaq,45,2058
dynaq+,45,1434
dynaq,46,2390
dynaq+,46,794
dynaq,47,671
dynaq+,47,756
dynaq,48,5472
dynaq+,48,5473
dynaq,49,11492
dynaq+,49,5379
dynaq,50,17640
dynaq+,50,1415
dynaq,51,15693
dynaq+,51,7322
dynaq,52,18477
dynaq+,52,4323
dynaq,53,5366
dynaq+,53,3294
dynaq,54,5121
dynaq+,54,15106
dynaq,55,9210
dynaq+,55,22016
dynaq,56,1384
dynaq+,56,283
dynaq,57,4790
dynaq+,57,2609
dynaq,58,4906
dynaq+,58,2073
dynaq,59,9551
dynaq+,59,4021
dynaq,60,1363
dynaq+,60,766
dynaq,61,1936
dynaq+,61,535
dynaq,62,10022
dynaq+,62,13759
dynaq,63,5371
dynaq+,63,891
dynaq,64,1512
dynaq+,64,10036
dynaq,65,4190
dynaq+,65,9256
dynaq,66,707
dynaq+,66,1518
dynaq,67,7133
dynaq+,67,1488
dynaq,68,710
dynaq+,68,14016
dynaq,69,2655
dynaq+,69,9961
dynaq,70,403
dynaq+,70,2233
dynaq,71,8066
dynaq+,71,6119
dynaq,72,35874
dynaq+,72,5647
dynaq,73,601
dynaq+,73,981
dynaq,74,6028
dynaq+,74,4253
dynaq,75,902
dynaq+,75,10777
dynaq,76,8881
dynaq+,76,423
dynaq,77,10376
dynaq+,77,8260
dynaq,78,267
dynaq+,78,6272
dynaq,79,509
dynaq+,79,3806
dynaq,80,693
dynaq+,80,6827
dynaq,81,1726
dynaq+,81,292
dynaq,82,2779
dynaq+,82,12105
dynaq,83,1197
dynaq+,83,5056
dynaq,84,461
dynaq+,84,642
dynaq,85,2587
dynaq+,85,2227
dynaq,86,7129
dynaq+,86,3958
dynaq,87,5847
dynaq+,87,1107
dynaq,88,6006
dynaq+,88,7964
dynaq,89,2650
dynaq+,89,7619
dynaq,90,4822
dynaq+,90,373
dynaq,91,14068
dynaq+,91,14078
dynaq,92,4909
dynaq+,92,2822
dynaq,93,627
dynaq+,93,5040
dynaq,94,1183
dynaq+,94,1275
dynaq,95,3175
dynaq+,95,3467
dynaq,96,1421
dynaq+,96,544
dynaq,97,2198
dynaq+,97,338
dynaq,98,3045
dynaq+,98,783
dynaq,99,18785
dynaq+,99,380
dynaq,100,7078
dynaq+,100,378
dynaq,101,1575
dynaq+,101,5941
dynaq,102,1077
dynaq+,102,3498
dynaq,103,1849
dynaq+,103,3275
dynaq,104,1007
dynaq+,104,13138
dynaq,105,401
dynaq+,105,8480
dynaq,106,24179
dynaq+,106,2072
dynaq,107,284
dynaq+,107,2144
dynaq,108,1384
dynaq+,108,1195
dynaq,109,9705
dynaq+,109,1610
dynaq,110,7574
dynaq+,110,3968
dynaq,111,2294
dynaq+,111,721
dynaq,112,210
dynaq+,112,2017
dynaq,113,927
dynaq+,113,1046
dynaq,114,1083
dynaq+,114,375
dynaq,115,385
dynaq+,115,2338
dynaq,116,195
dynaq+,116,3766
dynaq,117,4782
dynaq+,117,6497
dynaq,118,6072
dynaq+,118,1021
dynaq,119,212
dynaq+,119,2351
dynaq,120,1285
dynaq+,120,220
dynaq,121,3508
dynaq+,121,705
dynaq,122,466
dynaq+,122,198
dynaq,123,7050
dynaq+,123,585
dynaq,124,21532
dynaq+,124,1690
dynaq,125,8821
dynaq+,125,3510
dynaq,126,565
dynaq+,126,680
dynaq,127,397
dynaq+,127,11701
dynaq,128,197
dynaq+,128,1844
dynaq,129,3467
dynaq+,129,432
dynaq,130,2455
dynaq+,130,1506
dynaq,131,308
dynaq+,131,6623
dynaq,132,5860
dynaq+,132,313
dynaq,133,7879
dynaq+,133,2606
dynaq,134,3607
dynaq+,134,1482
dynaq,135,2158
dynaq+,135,2103
dynaq,136,1246
dynaq+,136,2917
dynaq,137,1418
dynaq+,137,11534
dynaq,138,1793
dynaq+,138,6974
dynaq,139,1377
dynaq+,139,1331
dynaq,140,1637
dynaq+,140,7404
dynaq,141,99
dynaq+,141,1341
dynaq,142,1929
dynaq+,142,1588
dynaq,143,957
dynaq+,143,5083
dynaq,144,1318
dynaq+,144,547
dynaq,145,4451
dynaq+,145,1019
dynaq,146,7012
dynaq+,146,1822
dynaq,147,1709
dynaq+,147,1328
dynaq,148,760
dynaq+,148,10228
dynaq,149,1538
dynaq+,149,322
dynaq,150,12741
dynaq+,150,2445
dynaq,151,1909
dynaq+,151,4496
dynaq,152,213
dynaq+,152,1497
dynaq,153,829
dynaq+,153,1123
dynaq,154,701
dynaq+,154,7616
dynaq,155,4398
dynaq+,155,791
dynaq,156,946
dynaq+,156,554
dynaq,157,7040
dynaq+,157,1677
dynaq,158,1017
dynaq+,158,1147
dynaq,159,531
dynaq+,159,2857
dynaq,160,8375
dynaq+,160,2073
dynaq,161,428
dynaq+,161,8854
dynaq,162,1476
dynaq+,162,452
dynaq,163,16240
dynaq+,163,1790
dynaq,164,412
dynaq+,164,203
dynaq,165,573
dynaq+,165,1166
dynaq,166,1976
dynaq+,166,1157
dynaq,167,250
dynaq+,167,6381
dynaq,168,4541
dynaq+,168,1234
dynaq,169,156
dynaq+,169,304
dynaq,170,961
dynaq+,170,655
dynaq,171,1678
dynaq+,171,1856
dynaq,172,234
dynaq+,172,335
dynaq,173,316
dynaq+,173,6598
dynaq,174,288
dynaq+,174,2683
dynaq,175,453
dynaq+,175,2328
dynaq,176,204
dynaq+,176,1005
dynaq,177,2058
dynaq+,177,618
dynaq,178,1569
dynaq+,178,5777
dynaq,179,429
dynaq+,179,303
dynaq,180,2777
dynaq+,180,1000
dynaq,181,7390
dynaq+,181,323
dynaq,182,787
dynaq+,182,2045
dynaq,183,3871
dynaq+,183,1308
dynaq,184,5271
dynaq+,184,293
dynaq,185,3764
dynaq+,185,810
dynaq,186,242
dynaq+,186,1250
dynaq,187,4071
dynaq+,187,757
dynaq,188,3804
dynaq+,188,652
dynaq,189,989
dynaq+,189,657
dynaq,190,1326
dynaq+,190,2513
dynaq,191,114
dynaq+,191,4417
dynaq,192,3560
dynaq+,192,4399
dynaq,193,543
dynaq+,193,6781
dynaq,194,1899
dynaq+,194,11206
dynaq,195,787
dynaq+,195,950
dynaq,196,1643
dynaq+,196,490
dynaq,197,8565
dynaq+,197,703
dynaq,198,3735
dynaq+,198,734
dynaq,199,476
dynaq+,199,2750
dynaq,200,261
dynaq+,200,3176
dynaq,201,3448
dynaq+,201,449
dynaq,202,3131
dynaq+,202,937
dynaq,203,4431
dynaq+,203,413
dynaq,204,433
dynaq+,204,5330
dynaq,205,116
dynaq+,205,1167
dynaq,206,1719
dynaq+,206,2955
dynaq,207,371
dynaq+,207,3817
dynaq,208,7084
dynaq+,208,9931
dynaq,209,10345
dynaq+,209,982
dynaq,210,205
dynaq+,210,975
dynaq,211,9897
dynaq+,211,9576
dynaq,212,2515
dynaq+,212,239
dynaq,213,559
dynaq+,213,565
dynaq,214,782
dynaq+,214,323
dynaq,215,97
dynaq+,215,242
dynaq,216,538
dynaq+,216,348
dynaq,217,5117
dynaq+,217,1058
dynaq,218,2481
dynaq+,218,210
dynaq,219,3654
dynaq+,219,3775
dynaq,220,169
dynaq+,220,266
dynaq,221,211
dynaq+,221,4684
dynaq,222,3160
dynaq+,222,283
dynaq,223,241
dynaq+,223,4015
dynaq,224,431
dynaq+,224,847
dynaq,225,93
dynaq+,225,2993
dynaq,226,75
dynaq+,226,2746
dynaq,227,2055
dynaq+,227,153
dynaq,228,4811
dynaq+,228,175
dynaq,229,140
dynaq+,229,348
dynaq,230,133
dynaq+,230,259
dynaq,231,172
dynaq+,231,491
dynaq,232,171
dynaq+,232,1902
dynaq,233,87
dynaq+,233,315
dynaq,234,184
dynaq+,234,869
dynaq,235,9178
dynaq+,235,228
dynaq,236,1145
dynaq+,236,1574
dynaq,237,437
dynaq+,237,6152
dynaq,238,1834
dynaq+,238,206
dynaq,239,847
dynaq+,239,177
dynaq,240,115
dynaq+,240,14527
dynaq,241,6838
dynaq+,241,826
dynaq,242,442
dynaq+,242,7148
dynaq,243,328
dynaq+,243,1596
dynaq,244,210
dynaq+,244,623
dynaq,245,7395
dynaq+,245,307
dynaq,246,661
dynaq+,246,334
dynaq,247,536
dynaq+,247,1620
dynaq,248,167
dynaq+,248,3045
dynaq,249,103
dynaq+,249,1513
dynaq,250,343
dynaq+,250,330
dynaq,251,353
dynaq+,251,206
dynaq,252,70
dynaq+,252,3393
dynaq,253,1494
dynaq+,253,1216
dynaq,254,3691
dynaq+,254,2469
dynaq,255,3938
dynaq+,255,2257
dynaq,256,1863
dynaq+,256,892
dynaq,257,238
dynaq+,257,1650
dynaq,258,98
dynaq+,258,7098
dynaq,259,1240
dynaq+,259,1273
dynaq,260,6971
dynaq+,260,139
dynaq,261,243
dynaq+,261,656
dynaq,262,1003
dynaq+,262,3974
dynaq,263,5919
dynaq+,263,1028
dynaq,264,1961
dynaq+,264,1227
dynaq,265,1252
dynaq+,265,1705
dynaq,266,3786
dynaq+,266,2509
dynaq,267,3310
dynaq+,267,531
dynaq,268,1221
dynaq+,268,555
dynaq,269,187
dynaq+,269,725
dynaq,270,130
dynaq+,270,287
dynaq,271,1636
dynaq+,271,1834
dynaq,272,565
dynaq+,272,177
dynaq,273,402
dynaq+,273,207
dynaq,274,90
dynaq+,274,5529
dynaq,275,73
dynaq+,275,652
dynaq,276,1087
dynaq+,276,5908
dynaq,277,136
dynaq+,277,3109
dynaq,278,193
dynaq+,278,800
dynaq,279,356
dynaq+,279,5056
dynaq,280,298
dynaq+,280,168
dynaq,281,11586
dynaq+,281,553
dynaq,282,384
dynaq+,282,570
dynaq,283,9423
dynaq+,283,252
dynaq,284,4017
dynaq+,284,132
dynaq,285,3064
dynaq+,285,125
dynaq,286,544
dynaq+,286,167
dynaq,287,59
dynaq+,287,469
dynaq,288,10253
dynaq+,288,186
dynaq,289,98
dynaq+,289,166
dynaq,290,108
dynaq+,290,378
dynaq,291,3969
dynaq+,291,3304
dynaq,292,686
dynaq+,292,325
dynaq,293,77
dynaq+,293,204
dynaq,294,149
dynaq+,294,2436
dynaq,295,263
dynaq+,295,1256
dynaq,296,117
dynaq+,296,589
dynaq,297,131
dynaq+,297,3068
dynaq,298,5027
dynaq+,298,399
dynaq,299,6764
dynaq+,299,2278
dynaq,300,2231
dynaq+,300,715
dynaq,301,133
dynaq+,301,197
dynaq,302,279
dynaq+,302,537
dynaq,303,95
dynaq+,303,1973
dynaq,304,303
dynaq+,304,1753
dynaq,305,76
dynaq+,305,185
dynaq,306,147
dynaq+,306,100
dynaq,307,219
dynaq+,307,120
dynaq,308,59
dynaq+,308,380
dynaq,309,806
dynaq+,309,69
dynaq,310,929
dynaq+,310,2560
dynaq,311,461
dynaq+,311,1039
dynaq,312,284
dynaq+,312,152
dynaq,313,136
dynaq+,313,187
dynaq,314,163
dynaq+,314,302
dynaq,315,3166
dynaq+,315,1032
dynaq,316,280
dynaq+,316,1414
dynaq,317,234
dynaq+,317,453
dynaq,318,556
dynaq+,318,94
dynaq,319,390
dynaq+,319,8567
dynaq,320,97
dynaq+,320,504
dynaq,321,131
dynaq+,321,356
dynaq,322,251
dynaq+,322,239
dynaq,323,76
dynaq+,323,101
dynaq,324,100
dynaq+,324,907
dynaq,325,121
dynaq+,325,628
dynaq,326,116
dynaq+,326,399
dynaq,327,122
dynaq+,327,231
dynaq,328,408
dynaq+,328,1517
dynaq,329,308
dynaq+,329,146
dynaq,330,1751
dynaq+,330,463
dynaq,331,53
dynaq+,331,201
dynaq,332,3044
dynaq+,332,767
dynaq,333,276
dynaq+,333,949
dynaq,334,365
dynaq+,334,319
dynaq,335,102
dynaq+,335,3825
dynaq,336,233
dynaq+,336,432
dynaq,337,115
dynaq+,337,248
dynaq,338,1608
dynaq+,338,5738
dynaq,339,48
dynaq+,339,2511
dynaq,340,75
dynaq+,340,274
dynaq,341,69
dynaq+,341,1184
dynaq,342,81
dynaq+,342,2047
dynaq,343,1418
dynaq+,343,365
dynaq,344,202
dynaq+,344,1339
dynaq,345,302
dynaq+,345,319
dynaq,346,88
dynaq+,346,15303
dynaq,347,169
dynaq+,347,300
dynaq,348,181
dynaq+,348,1601
dynaq,349,5879
dynaq+,349,7085
dynaq,350,78
dynaq+,350,5248
dynaq,351,5325
dynaq+,351,270
dynaq,352,324
dynaq+,352,3669
dynaq,353,79
dynaq+,353,260
dynaq,354,1648
dynaq+,354,119
dynaq,355,1626
dynaq+,355,652
dynaq,356,142
dynaq+,356,803
dynaq,357,173
dynaq+,357,4756
dynaq,358,83
dynaq+,358,164
dynaq,359,146
dynaq+,359,2481
dynaq,360,111
dynaq+,360,221
dynaq,361,130
dynaq+,361,1638
dynaq,362,1007
dynaq+,362,141
dynaq,363,1431
dynaq+,363,211
dynaq,364,215
dynaq+,364,62
dynaq,365,58
dynaq+,365,231
dynaq,366,278
dynaq+,366,163
dynaq,367,65
dynaq+,367,244
dynaq,368,70
dynaq+,368,205
dynaq,369,500
dynaq+,369,5468
dynaq,370,65
dynaq+,370,102
dynaq,371,228
dynaq+,371,898
dynaq,372,63
dynaq+,372,188
dynaq,373,84
dynaq+,373,292
dynaq,374,132
dynaq+,374,196
dynaq,375,126
dynaq+,375,216
dynaq,376,50
dynaq+,376,929
dynaq,377,239
dynaq+,377,4736
dynaq,378,178
dynaq+,378,68
dynaq,379,232
dynaq+,379,9175
dynaq,380,186
dynaq+,380,142
dynaq,381,200
dynaq+,381,251
dynaq,382,306
dynaq+,382,237
dynaq,383,179
dynaq+,383,2533
dynaq,384,147
dynaq+,384,298
dynaq,385,191
dynaq+,385,8973
dynaq,386,134
dynaq+,386,122
dynaq,387,366
dynaq+,387,145
dynaq,388,83
dynaq+,388,2520
dynaq,389,14474
dynaq+,389,88
dynaq,390,57
dynaq+,390,163
dynaq,391,4635
dynaq+,391,311
dynaq,392,73
dynaq+,392,168
dynaq,393,512
dynaq+,393,59
dynaq,394,53
dynaq+,394,1154
dynaq,395,338
dynaq+,395,1309
dynaq,396,2411
dynaq+,396,117
dynaq,397,123
dynaq+,397,124
dynaq,398,46
dynaq+,398,255
dynaq,399,108
dynaq+,399,187
dynaq,400,184
dynaq+,400,89
dynaq,401,94
dynaq+,401,13300
dynaq,402,67
dynaq+,402,3773
dynaq,403,149
dynaq+,403,618
dynaq,404,159
dynaq+,404,203
dynaq,405,138
dynaq+,405,199
dynaq,406,134
dynaq+,406,1714
dynaq,407,104
dynaq+,407,157
dynaq,408,2186
dynaq+,408,140
dynaq,409,133
dynaq+,409,815
dynaq,410,94
dynaq+,410,6446
dynaq,411,621
dynaq+,411,489
dynaq,412,844
dynaq+,412,78
dynaq,413,52
dynaq+,413,1882
dynaq,414,111
dynaq+,414,555
dynaq,415,53
dynaq+,415,2289
dynaq,416,981
dynaq+,416,97
dynaq,417,83
dynaq+,417,2363
dynaq,418,83
dynaq+,418,158
dynaq,419,638
dynaq+,419,2332
dynaq,420,63
dynaq+,420,4913
dynaq,421,48
dynaq+,421,169
dynaq,422,2636
dynaq+,422,126
dynaq,423,98
dynaq+,423,2484
dynaq,424,52
dynaq+,424,1241
dynaq,425,44
dynaq+,425,132
dynaq,426,137
dynaq+,426,342
dynaq,427,563
dynaq+,427,170
dynaq,428,58
dynaq+,428,66
dynaq,429,154
dynaq+,429,1435
dynaq,430,72
dynaq+,430,130
dynaq,431,581
dynaq+,431,100
dynaq,432,75
dynaq+,432,522
dynaq,433,134
dynaq+,433,141
dynaq,434,68
dynaq+,434,2736
dynaq,435,85
dynaq+,435,132
dynaq,436,206
dynaq+,436,135
dynaq,437,1556
dynaq+,437,283
dynaq,438,50
dynaq+,438,3733
dynaq,439,70
dynaq+,439,6448
dynaq,440,6279
dynaq+,440,2503
dynaq,441,1930
dynaq+,441,4400
dynaq,442,47
dynaq+,442,261
dynaq,443,1380
dynaq+,443,184
dynaq,444,1323
dynaq+,444,652
dynaq,445,83
dynaq+,445,275
dynaq,446,50
dynaq+,446,141
dynaq,447,3326
dynaq+,447,186
dynaq,448,52
dynaq+,448,420
dynaq,449,50
dynaq+,449,1458
dynaq,450,153
dynaq+,450,478
dynaq,451,46
dynaq+,451,104
dynaq,452,158
dynaq+,452,5576
dynaq,453,889
dynaq+,453,88
dynaq,454,343
dynaq+,454,106
dynaq,455,50
dynaq+,455,1740
dynaq,456,1295
dynaq+,456,505
dynaq,457,208
dynaq+,457,235
dynaq,458,296
dynaq+,458,2692
dynaq,459,43
dynaq+,459,91
dynaq,460,446
dynaq+,460,142
dynaq,461,294
dynaq+,461,50
dynaq,462,2111
dynaq+,462,56
dynaq,463,648
dynaq+,463,95
dynaq,464,73
dynaq+,464,134
dynaq,465,2806
dynaq+,465,383
dynaq,466,51
dynaq+,466,113
dynaq,467,42
dynaq+,467,63
dynaq,468,613
dynaq+,468,117
dynaq,469,1476
dynaq+,469,97
dynaq,470,576
dynaq+,470,176
dynaq,471,55
dynaq+,471,811
dynaq,472,80
dynaq+,472,174
dynaq,473,504
dynaq+,473,3612
dynaq,474,178
dynaq+,474,74
dynaq,475,49
dynaq+,475,702
dynaq,476,50
dynaq+,476,964
dynaq,477,152
dynaq+,477,155
dynaq,478,12122
dynaq+,478,429
dynaq,479,55
dynaq+,479,1273
dynaq,480,532
dynaq+,480,227
dynaq,481,242
dynaq+,481,282
dynaq,482,1718
dynaq+,482,49
dynaq,483,42
dynaq+,483,407
dynaq,484,199
dynaq+,484,446
dynaq,485,4336
dynaq+,485,5734
dynaq,486,5254
dynaq+,486,161
dynaq,487,996
dynaq+,487,46
dynaq,488,1281
dynaq+,488,47
dynaq,489,2282
dynaq+,489,5521
dynaq,490,511
dynaq+,490,191
dynaq,491,7861
dynaq+,491,183
dynaq,492,3766
dynaq+,492,5907
dynaq,493,68
dynaq+,493,7288
dynaq,494,258
dynaq+,494,73
dynaq,495,111
dynaq+,495,53
dynaq,496,303
dynaq+,496,1559
dynaq,497,100
dynaq+,497,265
dynaq,498,65
dynaq+,498,147
